run,variant_base,num_episodes,alpha,success_rate,mean_return
decay300000_1M,decay300K,1M,1,0.258,-67.56
l2_1M,l2,1M,1,0.253,-81.81
l2sq_seed0,l2sq,500K,1,0.225,-56.34
l2_seed0,l2,500K,1,0.223,-121.18
l2sq_500K_alpha_5,l2sq,500K,0.5,0.208,-809.02
l2sq_1M,l2sq,1M,1,0.188,-67.92
decay500000_1M,decay500K,1M,1,0.181,-57.44
decay300000_500K_alpha_5,decay300K,500K,0.5,0.17,-907.34
decay300000_seed,decay300K,500K,1,0.159,-244.34
decay200000_seed,decay200K,500K,1,0.155,-61.68
decay200000_1M,decay200K,1M,1,0.135,-94.79
decay500000_seed,decay500K,500K,1,0.128,-97.37
decay200000_500K_alpha_5,decay200K,500K,0.5,0.115,-775.14
none_seed0,none,500K,1,0.112,-158.01
decay500000_500K_alpha_5,decay500K,500K,0.5,0.111,-378.21
none_1M,none,1M,1,0.107,-128.58
l2_500K_alpha_5,l2,500K,0.5,0.083,-1177.37
