run,variant,seed,mean_return,success_rate
l2sq_seed0,l2sq,0,-56.33762585158842,0.225
decay500000_1M,decay500000,0,-57.44105312418176,0.181
decay300000_500K_l2sq_a_5,decay300000,0,-347.0472047087544,0.158
l2_500K_alpha_5,l2,0,-1177.3654671889292,0.083
none_seed0,none,0,-158.01001902212573,0.112
decay300000_1M_l2sq_a_5,decay300000,0,-276.28667477808244,0.207
l2sq_500K_alpha_5,l2sq,0,-809.0186909756809,0.208
decay500000_500K_alpha_5,decay500000,0,-378.2100030739511,0.111
none_1M,none,0,-128.57761247895974,0.107
decay300000_500K_alpha_5,decay300000,0,-907.3375756425097,0.17
decay500000_500K_l2sq_a_5,decay500000,0,-1111.195244867479,0.123
l2sq_1M,l2sq,0,-67.91728507125774,0.188
decay200000_1M_l2sq_a_5,decay200000,0,-662.7640654599469,0.113
decay200000_500K_alpha_5,decay200000,0,-775.1351140614948,0.115
l2_1M,l2,0,-81.8112071921446,0.253
decay200000_1M,decay200000,0,-94.78674474415637,0.135
decay500000_1M_l2sq_a_5,decay500000,0,-424.72577442060293,0.132
decay500000_seed,decay500000,0,-97.36708723565377,0.128
decay300000_1M,decay300000,0,-67.56401800117193,0.258
decay300000_seed,decay300000,0,-244.33600018228293,0.159
decay200000_500K_l2sq_a_5,decay200000,0,-232.6484284770639,0.187
none_500K_alpha_5,none,0,-284.51451014216474,0.296
decay200000_seed,decay200000,0,-61.68249880701985,0.155
l2_seed0,l2,0,-121.18336803453163,0.223
